lat,long
37.9607842,-87.4969627
37.9655934,-87.5151096
37.9814707,-87.5639289
38.0210008,-87.5785307
37.9589251,-87.6177047
38.0652393,-87.6506033
37.9524561,-87.5408512
37.983427,-87.644571
38.0066912,-87.5752597
38.0176629,-87.6412156
37.9710385,-87.5429758
38.0085037,-87.6930214
37.9582476,-87.5631379
37.970162,-87.4991887
38.0742602,-87.518796
37.9489968,-87.4973137
37.9991582,-87.5831018
38.0058851,-87.551901
37.9639226,-87.5164933
37.9695992,-87.5581727
37.9984547,-87.5541867
37.9845252,-87.5593937
37.9564122,-87.5103137
37.9485439,-87.5397787
37.9508897,-87.5524928
37.9500292,-87.5282237
37.9622408,-87.5368612
37.9762364,-87.5273495
38.021795,-87.5653779
37.9764513,-87.550326
37.9729941,-87.5708433
38.0105495,-87.4972076
37.9713222,-87.5390037
37.9888269,-87.6180492
38.1151787,-87.5389183
38.1154532,-87.5535467
38.0483152,-87.5122532
37.9724824,-87.6720062
38.0114112,-87.5318427
37.9871402,-87.6063007
37.9722414,-87.6080919
37.9814602,-87.6485867
38.1142882,-87.5532247
38.0214344,-87.5838188
37.9910196,-87.530149
38.0293517,-87.5816174
38.0406992,-87.5752213
37.9686522,-87.4671187
37.9637349,-87.5414548
38.0000826,-87.5027835
37.9744685,-87.4889656
38.0452969,-87.639174
37.9676992,-87.498252
37.9796772,-87.6204047
37.9583021,-87.6317061
37.9798388,-87.3857689
37.9939299,-87.3800543
37.9900083,-87.3888323
37.9534778,-87.3854434
38.0386146,-87.3718099
37.9848382,-87.3865567
38.0569383,-87.2721859
37.9469907,-87.4083154
38.0844681,-87.1215987
38.2022824,-87.2973905
38.0399428,-87.2821645
38.0435909,-87.2681799
37.9256137,-87.2979116
38.1607432,-87.4552197
38.1943813,-87.3427418
38.0528055,-87.282203
37.9509249,-87.4158985
37.9679405,-87.3970529
37.971021,-87.442547
38.0844098,-86.9072142
38.1204535,-86.988995
38.0178604,-87.0360873
38.1668302,-86.9853397
38.1197575,-86.9903575
38.1648067,-86.8880529
37.9060522,-87.1080957
37.9029194,-87.1888983
37.8822199,-87.0543886
37.9034528,-87.1084627
37.8850328,-87.0534258